c_city,c_state,c_zip
Albertville,Alabama,35950
Alexandria,Kentucky,41001
Alexander City,Alabama,35010
Alpine,Alabama,35014
Altoona,Alabama,35952
Andalusia,Alabama,36420
Andalusia,Alabama,36420
Anderson,Alabama,35610
Anniston,Alabama,36207
Anniston,Alabama,36207
Anniston,Alabama,36206
Anniston,Alabama,36207
Arab,Alabama,35016
Arab,Alabama,35016
Ashland,Alabama,36251
Athens,Alabama,35611
Athens,Alabama,35611
Athens,Alabama,35613
Athens,Alabama,35611
Atmore,Alabama,36502
Attalla,Alabama,35954
Auburn,Alabama,36831
Auburn,Alabama,36830
Auburn,Alabama,36830
Bay Minette,Alabama,36507
Bessemer,Alabama,35022
Bessemer,Alabama,35022
Bessemer,Alabama,35022
Bessemer,Alabama,35022
Bessemer,Alabama,35020
Birmingham,Alabama,35211
Birmingham,Alabama,35213
Birmingham,Alabama,35211
Birmingham,Alabama,35221
Birmingham,Alabama,35211
Birmingham,Alabama,35205
Birmingham,Alabama,35243
Birmingham,Alabama,35244
Birmingham,Alabama,35242
Birmingham,Alabama,35235
Birmingham,Alabama,35242
Birmingham,Alabama,35244
Birmingham,Alabama,35242
Birmingham,Alabama,35213
Birmingham,Alabama,35210
Birmingham,Alabama,35244
Birmingham,Alabama,35206
Birmingham,Alabama,35216
Birmingham,Alabama,35236
Birmingham,Alabama,35242
Birmingham,Alabama,35213
Boaz,Alabama,35957
Bremen,Alabama,35033
Brewton,Alabama,36426
Brundidge,Alabama,36010
Bryant,Alabama,35958
Butler,Alabama,36904
Calera,Alabama,35040
Camden,Alabama,36726
Centre,Alabama,35960
Centreville,Alabama,35042
Chatom,Alabama,36518
Citronelle,Alabama,36522
Clanton,Alabama,35046
Clanton,Alabama,35046
Coosa Pines,Alabama,35044
Cordova,Alabama,35550
Cullman,Alabama,35058
Cullman,Alabama,35057
Dadeville,Alabama,36853
Dadeville,Alabama,36853
Daphne,Alabama,36527
Daphne,Alabama,36526
Daphne,Alabama,36527
Daphne,Alabama,36527
Daphne,Alabama,36526
Dauphin Island,Alabama,36528
Decatur,Alabama,35603
Decatur,Alabama,35603
Decatur,Alabama,35603
Decatur,Alabama,35601
Decatur,Alabama,35601
Demopolis,AL.,36732
Demopolis,Alabama,36732
Dothan,Alabama,36305
Dothan,Alabama,36305
Dothan,Alabama,36301
Dothan,Alabama,36301
Dothan,Alabama,36301
Dothan,Alabama,36305
Dothan,Alabama,36305
Eight Mile,Alabama,36613
Elba,Alabama,36323
Empire,Alabama,35063
Enterprise,Alabama,36330
Enterprise,Alabama,36330
Eufaula,Alabama,36027
Eufaula,Alabama,36027
Eufaula,Alabama,36027
Evergreen,Alabama,36401
Fairhope,Alabama,36532
Fairhope,Alabama,36532
Fayette,Alabama,35555
Flat Rock,Alabama,35966
Florence,Alabama,35630
Florence,Alabama,35630
Florence,Alabama,35634
Foley,Alabama,36535
Foley,Alabama,36535
Foley,Alabama,36535
Fort McClellan,Alabama,36205
Fort Payne,Alabama,35967
Fort Payne,Alabama,35967
Fort Rucker,Alabama,36362
Fort Rucker,Alabama,36362
Fort Rucker,Alabama,36362
Gadsden,Alabama,35901
Gadsden,Alabama,35903
Gardendale,Alabama,35071
Geneva,Alabama,36340
Glencoe,Alabama,35905
Glencoe,Alabama,35905
Glencoe,Alabama,35905
Glencoe,Alabama,35905
Glencoe,Alabama,35905
Goodwater,Alabama,35072
Graysville,Alabama,35073
Graysville,Alabama,35073
Graysville,Alabama,35073
Greensboro,Alabama,36744
Greenville,Alabama,36037
Greenville,Alabama,36037
Greenville,Alabama,36037
Greenville,Alabama,36037
Greenville,Alabama,36037
Guin,Alabama,35563
Gulf Shores,Alabama,36542
Gulf Shores,Alabama,36542
Gulf Shores,Alabama,36542
Gulf Shores,Alabama,36547
Gulf Shores,Alabama,36547
Gulf Shores,Alabama,36547
Gulf Shores,Alabama,36542
Gulf Shores,Alabama,36547
Gulf Shores,Alabama,36542
Guntersville,Alabama,35976
Guntersville,Alabama,35976
Guntersville,Alabama,35976
Haleyville,Alabama,35565
Hanceville,Alabama,35077
Harpersville,Alabama,35078
Hartselle,Alabama,35640
Harvest,Alabama,35749
,,
Horton,Alabama,35980
Huntsville,Alabama,35802
Huntsville,Alabama,35802
Huntsville,Alabama,35802
Huntsville,Alabama,35806
Huntsville,Alabama,35810
Huntsville,Alabama,35824
Irvington,Alabama,36544
Jacksons Gap,Alabama,36861
Jacksonville,Alabama,36265
Jasper,Alabama,35504
Jasper,Alabama,35504
Jasper,Alabama,35503
Jasper,Alabama,35503
Killen,Alabama,35645
Lanett,Alabama,36863
Leeds,Alabama,35094
Linden,Alabama,36748
Livingston,Alabama,35470
Loxley,Alabama,36551
Marion,Alabama,36756
Maxwell AFB,Alabama,36112
Maxwell AFB,Alabama,36112
McCalla,Alabama,35111
Mentone,Alabama,35984
Meridianville,Alabama,35759
Meridianville,Alabama,35759
Mobile,Alabama,36608
Mobile,Alabama,36608
Mobile,Alabama,36608
Mobile,Alabama,36693
Mobile,Alabama,36615
Mobile,Alabama,36693
Mobile,Alabama,36608
Monroeville,Alabama,36460
Montevallo,Alabama,35115
Montgomery,Alabama,36117
Montgomery,Alabama,36107
Montgomery,Alabama,36057
Montgomery,Alabama,36109
Montgomery,Alabama,36116
Montgomery,Alabama,36106
Montgomery,Alabama,36108
Montgomery,Alabama,36117
Montgomery,Alabama,36117
Morris,Alabama,35116
Moulton,Alabama,35650
Muscle Shoals,Alabama,35661
Northport,Alabama,35473
Oakman,Alabama,35579
Oneonta,Alabama,35121
Oneonta,Alabama,35121
Oneonta,Alabama,35121
Opelika,Alabama,36801
Opelika,Alabama,36801
Opelika,Alabama,36801
Opelika,Alabama,36804
Opp,Alabama,36467
Orange Beach,Alabama,36561
Owens Cross Roads,Alabama,35763
Owens Cross Roads,Alabama,35763
Owens Cross Roads,Alabama,35763
Oxford,Alabama,36203
Ozark,Alabama,36360
Ozark,Alabama,36361
Pelham,Alabama,35124
Pell City,Alabama,35128
Pell City,Alabama,35125
Phenix City,Alabama,36870
Phenix City,Alabama,36867
Pinson,Alabama,35126
Point Clear,Alabama,36564
Point Clear,Alabama,36564
Prattsville,Alabama,36066
Prattsville,Alabama,36066
Prattsville,Alabama,36066
Prattville,Alabama,36067
Rainsville,Alabama,35986
Red Bay,Alabama,35582
Redstone Arsenal,Alabama,35898
Redstone Arsenal,Alabama,35898
Redstone Arsenal,Alabama,35898
Reform,Alabama,35481
Roanoke,Alabama,36274
Rogersville,Alabama,35652
Russellville,Alabama,35654
Scottsboro,Alabama,35769
Scottsboro,Alabama,35768
Seale,Alabama,36875
Selma,Alabama,36702
Selma,Alabama,36701
Selma,Alabama,36701
Semmes,Alabama,36575
Semmes,Alabama,36575
Semmes,Alabama,36575
Sylacauga,Alabama,35150
Talladega,Alabama,35160
Talladega,Alabama,35160
Tallassee,Alabama,36078
Thomasville,Alabama,36784
Troy,Alabama,36082
Troy,Alabama,36081
Trussville,Alabama,35173
Tuscaloosa,Alabama,35401
Tuscaloosa,Alabama,35404
Tuscaloosa,Alabama,35405
Tuscaloosa,Alabama,35406
Tuscaloosa,Alabama,35487
Tuscaloosa,Alabama,35405
Tuscumbia,Alabama,35674
Tuscumbia,Alabama,35674
Tuscumbia,Alabama,35674
Union Grove,Alabama,35175
Union Springs,Alabama,36089
Vernon,Alabama,35592
Vestavia Hills,Alabama,35242
Wetumpka,Alabama,36092
York,Alabama,36925
Anchorage,Alaska,99508
Anchorage,Alaska,99516
Elmendorf AFB,Alaska,99506
Fairbanks,Alaska,99709
Fort Richardson,Alaska,99505
Fort Wainwright,Alaska,99703
Healy,Alaska,99743
Homer,Alaska,99603
Juneau,Alaska,99801
Kenai,Alaska,99611
Kodiak,Alaska,99615
Palmer,Alaska,99645
Soldotna,Alaska,99669
Wasilla,Alaska,99687
